guid,first_name,second_name,goals_scored,assists,total_points,minutes,goals_conceded,creativity,influence,threat,bonus,bps,ict_index,clean_sheets,red_cards,yellow_cards,selected_by_percent,year,now_cost,element_type
210,Pedro,Chirivella,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,2016,,
211,Sadio,Mané,13,7,156,2242,26,660.7,727.0,1074.0,14,502,246.0,8,0,4,7.8,2016,,
212,Christian,Benteke,15,2,136,3131,58,484.4,640.2,1762.0,13,382,286.1,7,0,10,9.5,2016,,
213,Daniel,Sturridge,3,5,54,775,7,207.4,202.8,492.0,2,180,89.7,3,0,1,1.9,2016,,
214,Mario,Balotelli,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.2,2016,,
215,Danny,Ings,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.2,2016,,
216,Divock,Origi,7,4,96,1469,18,264.4,360.0,551.0,8,297,116.1,7,0,0,5.5,2016,,
217,Joe,Hart,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,1.0,2016,,
218,Willy,Caballero,0,0,64,1452,13,0.0,266.6,0.0,1,295,26.8,6,0,0,3.8,2016,,
219,Aleksandar,Kolarov,1,1,95,2535,27,296.4,639.0,223.0,7,558,116.0,9,0,6,3.1,2016,,
220,Pablo,Zabaleta,1,1,45,1065,18,167.7,238.6,113.0,5,230,52.1,2,0,2,1.2,2016,,
221,Vincent,Kompany,3,0,57,820,6,32.9,249.0,123.0,6,227,40.6,5,0,5,3.2,2016,,
222,Gaël,Clichy,1,0,87,2123,24,314.8,407.4,38.0,9,493,76.1,8,0,2,1.9,2016,,
223,Bacary,Sagna,0,1,55,1346,14,152.1,223.2,53.0,3,316,42.8,6,0,2,1.7,2016,,
224,Eliaquim,Mangala,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.3,2016,,
225,Nicolás,Otamendi,1,2,100,2592,28,125.6,772.4,276.0,10,640,117.6,9,0,9,3.2,2016,,
226,Fabian,Delph,1,0,13,224,4,42.3,68.2,43.0,0,62,15.3,0,0,1,0.1,2016,,
227,Raheem,Sterling,7,14,149,2509,27,688.3,527.0,1170.0,11,468,237.7,9,0,7,10.6,2016,,
228,Samir,Nasri,0,0,1,16,0,12.3,4.8,41.0,0,0,5.8,0,0,0,0.2,2016,,
229,David,Silva,4,9,130,2760,32,1388.4,671.2,801.0,12,621,286.2,12,0,6,2.8,2016,,
230,Gnegneri Yaya,Touré,5,0,86,1941,17,407.7,474.2,335.0,6,422,121.8,12,0,4,1.0,2016,,
231,Jesús,Navas,0,3,48,1064,17,359.9,161.0,163.0,6,245,68.3,2,0,2,0.6,2016,,
232,Fernando,Luiz Rosa,2,1,78,2755,27,575.7,546.6,364.0,3,483,148.5,10,2,4,1.5,2016,,
233,Fernando Francisco,Reges,0,0,18,568,10,65.7,115.2,29.0,1,106,21.0,1,0,3,0.2,2016,,
234,Kevin,De Bruyne,6,21,199,2877,34,1702.0,872.4,790.0,33,825,336.6,11,0,4,10.4,2016,,
