202,299,1242,Chris Basham,Chris,Basham
203,300,437,Chris Brunt,Chris,Brunt
204,301,71,Chris Long,Chris,Long
205,302,765,Chris Löwe,Chris,Lowe
206,303,912,Chris Mepham,Chris,Mepham
207,304,243,Chris Smalling,Chris,Smalling
208,306,726,Chris Wood,Chris,Wood
209,307,829,Christian Atsu,Christian,Atsu
210,308,212,Christian Benteke,Christian,Benteke
211,309,393,Christian Eriksen,Christian,Eriksen
212,310,167,Christian Fuchs,Christian,Fuchs
213,311,413,Christian Kabasele,Christian,Kabasele
214,312,1485,Christian Marques,Christian,Marques
215,313,1150,Christian Pulisic,Christian,Pulisic
216,314,1129,Christian Saydee,Christian,Saydee
217,315,1319,Christian Walton,Christian,Walton
218,316,1203,Christoph Zimmermann,Christoph,Zimmermann
219,317,764,Christopher Schindler,Christopher,Schindler
220,318,492,Chuba Akpom,Chuba,Akpom
221,319,116,Chung-yong Lee,Chung-yong,Lee
222,320,819,Ciaran Clark,Ciaran,Clark
223,322,540,Claudio Bravo,Claudio,Bravo
224,323,1422,Claudio Gomes,Claudio,Gomes
225,324,441,Claudio Yacob,Claudio,Yacob
226,325,403,Clinton N'Jie,Clinton,N'Jie
227,327,1187,Cole Palmer,Cole,Palmer
228,328,784,Collin Quaner,Collin,Quaner
229,330,703,Connor Goldson,Connor,Goldson
230,331,692,Connor Mahoney,Connor,Mahoney
231,332,195,Connor Randall,Connor,Randall
232,334,653,Connor Roberts,Connor,Roberts
233,337,121,Connor Wickham,Connor,Wickham
234,338,1073,Conor Coady,Conor,Coady
235,339,1062,Conor Coventry,Conor,Coventry
236,340,1465,Conor Gallagher,Conor,Gallagher
237,342,1103,Conor Hourihane,Conor,Hourihane
238,343,804,Conor Masterson,Conor,Masterson
239,346,1458,Conor Townsend,Conor,Townsend
240,349,405,Costel Pantilimon,Costel,Pantilimon
241,351,407,Craig Cathcart,Craig,Cathcart
242,352,432,Craig Dawson,Craig,Dawson
243,353,439,Craig Gardner,Craig,Gardner
244,354,292,Cristhian Stuani,Cristhian,Stuani
245,356,434,Cristian Gamboa,Cristian,Gamboa
246,358,301,Cuco Martina,Cuco,Martina
247,359,148,Curtis Davies,Curtis,Davies
248,361,805,Curtis Jones,Curtis,Jones
249,362,987,Cyrus Christie,Cyrus,Christie
250,363,300,Cédric Soares,Cedric,Soares
251,364,76,César Azpilicueta,Cesar,Azpilicueta
252,366,276,Dael Fry,Dael,Fry
253,367,705,Dale Stephens,Dale,Stephens
254,368,253,Daley Blind,Daley,Blind
255,370,106,Damien Delaney,Damien,Delaney
256,373,926,Dan Burn,Dan,Burn
257,375,42,Dan Gosling,Dan,Gosling
258,379,1229,Daniel Adshead,Daniel,Adshead
259,381,181,Daniel Amartey,Daniel,Amartey
260,382,274,Daniel Ayala,Daniel,Ayala
261,383,878,Daniel Bachmann,Daniel,Bachmann
262,384,675,Daniel Batty,Daniel,Batty
263,386,597,Daniel James,Daniel,James
264,389,213,Daniel Sturridge,Daniel,Sturridge
265,394,215,Danny Ings,Danny,Ings
266,396,382,Danny Rose,Danny,Rose
267,397,171,Danny Simpson,Danny,Simpson
268,398,803,Danny Ward,Danny,Ward
269,399,25,Danny Welbeck,Danny,Welbeck
270,400,783,Danny Williams,Danny,Williams
271,401,1462,Dara O'Shea,Dara,O'Shea
272,402,1461,Darnell Furlong,Darnell,Furlong
273,403,1175,Darnell Johnson,Darnell,Johnson
274,404,438,Darren Fletcher,Darren,Fletcher
275,405,450,Darren Randolph,Darren,Randolph
276,406,137,Darron Gibson,Darron,Gibson
277,407,539,Daryl Janmaat,Daryl,Janmaat
278,408,909,David Brooks,David,Brooks
279,409,917,David Button,David,Button
280,411,60,David Jones,David,Jones
281,413,553,David Marshall,David,Marshall
282,414,1284,David Martin,David,Martin
283,415,1241,David McGoldrick,David,McGoldrick
284,416,160,David Meyler,David,Meyler
285,417,290,David Nugent,David,Nugent
286,418,0,David Ospina,David,Ospina
287,419,229,David Silva,David,Silva
288,420,241,David de Gea,David,de Gea
289,421,740,Davide Zappacosta,Davide,Zappacosta
290,422,865,Davinson Sánchez,Davinson,Sanchez
291,423,756,Davy Klaassen,Davy,Klaassen
292,424,718,Davy Pröpper,Davy,Propper
293,425,388,DeAndre Yedlin,DeAndre,Yedlin
294,427,1247,Dean Henderson,Dean,Henderson
295,428,63,Dean Marney,Dean,Marney
296,429,778,Dean Whitehead,Dean,Whitehead
297,430,617,Declan Rice,Declan,Rice
298,433,190,Dejan Lovren,Dejan,Lovren
299,435,180,Demarai Gray,Demarai,Gray
300,436,1005,Demeaco Duhaney,Demeaco,Duhaney
301,437,668,Demetri Mitchell,Demetri,Mitchell
302,438,976,Denis Odoi,Denis,Odoi
303,439,908,Denis Suárez,Denis,Suarez
304,441,1273,Dennis Cirkin,Dennis,Cirkin
305,442,1172,Dennis Praet,Dennis,Praet
306,443,1206,Dennis Srbeny,Dennis,Srbeny
307,446,469,Diafra Sakho,Diafra,Sakho
308,447,558,Didier Ndong,Didier,Ndong
309,448,754,Diego Cavalieri,Diego,Cavalieri
310,450,1399,Diego Llorente,Diego,Llorente
311,452,910,Diego Rico,Diego,Rico
312,453,568,Dieumerci Mbokani,Dieumerci,Mbokani
313,454,1276,Dimitri Foulquier,Dimitri,Foulquier
314,455,460,Dimitri Payet,Dimitri,Payet
315,456,272,Dimitrios Konstantopoulos,Dimitrios,Konstantopoulos
316,458,1075,Diogo Jota,Diogo,Jota
317,459,749,Dion Henry,Dion,Henry
318,460,658,Dion Pereira,Dion,Pereira
319,463,216,Divock Origi,Divock,Origi
320,465,1165,Djibril Sidibé,Djibril,Sidibe
321,466,879,Dodi Lukebakio,Dodi,Lukebakio
322,467,609,Domingos Quina,Domingos,Quina
323,468,594,Dominic Calvert-Lewin,Dominic,Calvert-Lewin
324,469,589,Dominic Solanke,Dominic,Solanke
325,470,505,Donald Love,Donald,Love
326,472,1424,Donny van de Beek,Donny,van de Beek
327,474,743,Dujon Sterling,Dujon,Sterling
328,475,352,Duncan Watmore,Duncan,Watmore
329,476,516,Dusan Kuciak,Dusan,Kuciak
330,477,307,Dusan Tadic,Dusan,Tadic
331,478,830,Dwight Gayle,Dwight,Gayle
332,479,729,Dwight McNeil,Dwight,McNeil
333,483,1339,Eberechi Eze,Eberechi,Eze
334,485,81,Eden Hazard,Eden,Hazard
335,487,541,Edimilson Fernandes,Edimilson,Fernandes
336,488,1426,Edinson Cavani,Edinson,Cavani
337,489,1337,Edouard Mendy,Edouard,Mendy
338,491,146,Eldin Jakupovic,Eldin,Jakupovic
339,492,1397,Elia Caprile,Elia,Caprile
340,493,224,Eliaquim Mangala,Eliaquim,Mangala
341,494,781,Elias Kachunga,Elias,Kachunga
342,497,616,Elliot Embleton,Elliot,Embleton
343,501,669,Elliott Moore,Elliott,Moore
344,503,1170,Ellis Simms,Ellis,Simms
345,506,44,Emerson Hyndman,Emerson,Hyndman
346,507,1194,Emil Krafth,Emil,Krafth
347,508,1096,Emile Smith Rowe,Emile,Smith Rowe
348,509,1209,Emiliano Buendía,Emiliano,Buendia
349,510,904,Emiliano Martínez,Emiliano,Martinez
350,515,203,Emre Can,Emre,Can
351,516,1230,Enda Stevens,Enda,Stevens
352,518,468,Enner Valencia,Enner,Valencia
353,519,751,Erdal Rakip,Erdal,Rakip
354,520,254,Eric Bailly,Eric,Bailly
355,521,389,Eric Dier,Eric,Dier
356,522,1184,Eric García,Eric,Garcia
357,523,850,Eric Maxim Choupo-Moting,Eric Maxim,Choupo-Moting
358,524,1000,Erik Durm,Erik,Durm
359,525,392,Erik Lamela,Erik,Lamela
360,527,320,Erik Pieters,Erik,Pieters
361,528,863,Erwin Mulder,Erwin,Mulder
362,530,741,Ethan Ampadu,Ethan,Ampadu
363,535,614,Ethan Robson,Ethan,Robson
364,536,39,Eunan O'Kane,Eunan,O'Kane
365,538,720,Ezequiel Schelotto,Ezequiel,Schelotto
366,539,1381,Ezgjan Alioski,Ezgjan,Alioski
367,541,226,Fabian Delph,Fabian,Delph
368,542,1025,Fabian Schär,Fabian,Schar
369,544,353,Fabio Borini,Fabio,Borini
370,545,1058,Fabián Balbuena,Fabian,Balbuena
371,549,1154,Faustino Anjorin,Faustino,Anjorin
372,551,362,Federico Fernández,Federico,Fernandez
373,554,1420,Felix Nmecha,Felix,Nmecha
374,557,499,Fernando Llorente,Fernando,Llorente
375,559,1414,Ferran Torres,Ferran,Torres
376,560,737,Fikayo Tomori,Fikayo,Tomori
377,561,1011,Filip Benkovic,Filip,Benkovic
378,562,670,Filip Lesniak,Filip,Lesniak
379,565,788,Florent Hadergjonaj,Florent,Hadergjonaj
380,566,824,Florian Lejeune,Florian,Lejeune
381,568,916,Florin Andone,Florin,Andone
382,569,299,Florin Gardos,Florin,Gardos
383,570,981,Floyd Ayité,Floyd,Ayite
384,573,798,Fousseni Diabaté,Fousseni,Diabate
385,574,120,Fraizer Campbell,Fraizer,Campbell
386,575,19,Francis Coquelin,Francis,Coquelin
387,576,363,Franck Tabanou,Franck,Tabanou
388,577,293,Fraser Forster,Fraser,Forster
389,581,842,Freddie Woodman,Freddie,Woodman
390,582,1472,Frederik Alves,Frederik,Alves
391,583,64,Fredrik Ulvestad,Fredrik,Ulvestad
392,584,1116,Frédéric Guilbert,Frederic,Guilbert
393,586,1477,Fábio Silva,Fabio,Silva
394,594,1405,Gaetano Berardi,Gaetano,Berardi
395,595,1451,Gareth Bale,Gareth,Bale
396,596,136,Gareth Barry,Gareth,Barry
397,597,435,Gareth McAuley,Gareth,McAuley
398,598,77,Gary Cahill,Gary,Cahill
399,601,950,Gary Madine,Gary,Madine
400,603,490,Gastón Ramírez,Gaston,Ramirez
401,604,1130,Gavin Kilkenny,Gavin,Kilkenny
402,606,222,Gaël Clichy,Gael,Clichy
403,607,701,Gaëtan Bong,Gaetan,Bong
