964,https://www.transfermarkt.com/loris-karius/profil/spieler/85864,200000,1.FSV Mainz 05,"Jun 29, 2012"
965,https://www.transfermarkt.com/loris-karius/profil/spieler/85864,200000,1.FSV Mainz 05,"Jan 13, 2013"
966,https://www.transfermarkt.com/loris-karius/profil/spieler/85864,200000,1.FSV Mainz 05,"Jun 30, 2013"
1363,https://www.transfermarkt.com/pau-lopez/profil/spieler/286415,200000,RCD Espanyol Barcelona,"Jul 19, 2014"
1607,https://www.transfermarkt.com/sead-kolasinac/profil/spieler/94005,200000,FC Schalke 04,"Jul 5, 2012"
1892,https://www.transfermarkt.com/tony-andreu/profil/spieler/87789,200000,FC Stade Nyonnais,"May 28, 2010"
1893,https://www.transfermarkt.com/tony-andreu/profil/spieler/87789,200000,Hamilton Academical FC,"Sep 26, 2013"
1937,https://www.transfermarkt.com/wesley-hoedt/profil/spieler/253765,200000,AZ Alkmaar,"Aug 11, 2014"
2001,https://www.transfermarkt.com/youssouf-mulumbu/profil/spieler/45272,200000,West Bromwich Albion,"Jan 8, 2010"
1478,https://www.transfermarkt.com/russell-martin/profil/spieler/67303,225000,Norwich City,"Apr 27, 2010"
47,https://www.transfermarkt.com/alessandro-diamanti/profil/spieler/23197,250000,AC Perugia Calcio,"Jun 18, 2018"
51,https://www.transfermarkt.com/alessandro-diamanti/profil/spieler/23197,250000,Western United FC,"Oct 8, 2020"
52,https://www.transfermarkt.com/alessandro-diamanti/profil/spieler/23197,250000,Western United FC,"Mar 30, 2021"
58,https://www.transfermarkt.com/alex-bruce/profil/spieler/37957,250000,Leeds United,"Jun 22, 2012"
160,https://www.transfermarkt.com/arouna-kone/profil/spieler/8552,250000,Sivasspor,"Dec 23, 2020"
223,https://www.transfermarkt.com/brad-guzan/profil/spieler/39471,250000,Atlanta United FC,"Dec 18, 2020"
708,https://www.transfermarkt.com/joel-pereira/profil/spieler/192611,250000,Manchester United,"Aug 16, 2017"
749,https://www.transfermarkt.com/jonas-lossl/profil/spieler/48870,250000,FC Midtjylland,"Dec 8, 2009"
806,https://www.transfermarkt.com/josh-dasilva/profil/spieler/340321,250000,Brentford FC,"Feb 27, 2019"
900,https://www.transfermarkt.com/kelvin-davis/profil/spieler/13640,250000,Southampton FC,"Feb 7, 2012"
901,https://www.transfermarkt.com/kelvin-davis/profil/spieler/13640,250000,Southampton FC,"Jun 22, 2012"
902,https://www.transfermarkt.com/kelvin-davis/profil/spieler/13640,250000,Southampton FC,"Jan 28, 2013"
903,https://www.transfermarkt.com/kelvin-davis/profil/spieler/13640,250000,Southampton FC,"Jul 2, 2013"
904,https://www.transfermarkt.com/kelvin-davis/profil/spieler/13640,250000,Southampton FC,"Jan 15, 2014"
905,https://www.transfermarkt.com/kelvin-davis/profil/spieler/13640,250000,Southampton FC,"Aug 12, 2014"
906,https://www.transfermarkt.com/kelvin-davis/profil/spieler/13640,250000,Southampton FC,"Feb 12, 2015"
907,https://www.transfermarkt.com/kelvin-davis/profil/spieler/13640,250000,Southampton FC,"Jul 1, 2015"
908,https://www.transfermarkt.com/kelvin-davis/profil/spieler/13640,250000,Southampton FC,"Feb 9, 2016"
917,https://www.transfermarkt.com/leandro-bacuna/profil/spieler/126014,250000,FC Groningen,"Jan 18, 2010"
956,https://www.transfermarkt.com/lewis-gibson/profil/spieler/419325,250000,Reading FC,"Oct 15, 2020"
1230,https://www.transfermarkt.com/neeskens-kebano/profil/spieler/111422,250000,Paris Saint Germain,"Jul 20, 2011"
1479,https://www.transfermarkt.com/russell-martin/profil/spieler/67303,250000,Norwich City,"Sep 1, 2011"
1716,https://www.transfermarkt.com/steve-mounie/profil/spieler/238639,250000,N EEmes Olympique,"Sep 6, 2015"
1794,https://www.transfermarkt.com/stewart-downing/profil/spieler/4063,250000,Blackburn Rovers,"Mar 10, 2021"
1796,https://www.transfermarkt.com/stuart-okeefe/profil/spieler/93626,250000,Crystal Palace,"Jun 22, 2012"
1797,https://www.transfermarkt.com/stuart-okeefe/profil/spieler/93626,250000,Crystal Palace,"Mar 2, 2013"
1798,https://www.transfermarkt.com/stuart-okeefe/profil/spieler/93626,250000,Crystal Palace,"Jul 11, 2013"
1835,https://www.transfermarkt.com/tashan-oakley-boothe/profil/spieler/406637,250000,Stoke City,"Feb 27, 2020"
1991,https://www.transfermarkt.com/yaya-toure/profil/spieler/13091,250000,Qingdao Huanghai,"Sep 5, 2019"
21,https://www.transfermarkt.com/alessandro-diamanti/profil/spieler/23197,300000,UC AlbinoLeffe,"Jan 16, 2005"
48,https://www.transfermarkt.com/alessandro-diamanti/profil/spieler/23197,300000,AS Livorno,"Jan 17, 2019"
49,https://www.transfermarkt.com/alessandro-diamanti/profil/spieler/23197,300000,AS Livorno,"Jun 5, 2019"
50,https://www.transfermarkt.com/alessandro-diamanti/profil/spieler/23197,300000,Western United FC,"Sep 11, 2019"
