,club_reference,href,name_and_surname,position,market_value,date_of_birth,country
76,https://www.transfermarkt.com/manchester-city/startseite/verein/281/saison_id/2015,/kelechi-iheanacho/profil/spieler/295330,Kelechi Iheanacho,Centre-Forward,€5.00m ,"Oct 3, 1996 (18)",Nigeria
77,https://www.transfermarkt.com/manchester-city/startseite/verein/281/saison_id/2015,/david-faupala/profil/spieler/272624,David Faupala,Centre-Forward, ,"Feb 11, 1997 (18)",France
78,https://www.transfermarkt.com/fc-arsenal/startseite/verein/11/saison_id/2015,/petr-cech/profil/spieler/5658,Petr Cech,Goalkeeper,€12.00m ,"May 20, 1982 (33)",Czech Republic
79,https://www.transfermarkt.com/fc-arsenal/startseite/verein/11/saison_id/2015,/david-ospina/profil/spieler/73396,David Ospina,Goalkeeper,€8.00m ,"Aug 31, 1988 (26)",Colombia
80,https://www.transfermarkt.com/fc-arsenal/startseite/verein/11/saison_id/2015,/emiliano-martinez/profil/spieler/111873,Emiliano Martínez,Goalkeeper,€1.50m ,"Sep 2, 1992 (22)",Argentina
81,https://www.transfermarkt.com/fc-arsenal/startseite/verein/11/saison_id/2015,/matt-macey/profil/spieler/220491,Matt Macey,Goalkeeper,€500Th. ,"Sep 9, 1994 (20)",England
82,https://www.transfermarkt.com/fc-arsenal/startseite/verein/11/saison_id/2015,/laurent-koscielny/profil/spieler/76277,Laurent Koscielny,Centre-Back,€22.00m ,"Sep 10, 1985 (29)",France
83,https://www.transfermarkt.com/fc-arsenal/startseite/verein/11/saison_id/2015,/per-mertesacker/profil/spieler/6710,Per Mertesacker,Centre-Back,€13.00m ,"Sep 29, 1984 (30)",Germany
84,https://www.transfermarkt.com/fc-arsenal/startseite/verein/11/saison_id/2015,/gabriel-paulista/profil/spieler/149498,Gabriel Paulista,Centre-Back,€12.00m ,"Nov 26, 1990 (24)",Brazil
85,https://www.transfermarkt.com/fc-arsenal/startseite/verein/11/saison_id/2015,/calum-chambers/profil/spieler/215118,Calum Chambers,Centre-Back,€12.00m ,"Jan 20, 1995 (20)",England
86,https://www.transfermarkt.com/fc-arsenal/startseite/verein/11/saison_id/2015,/nacho-monreal/profil/spieler/43003,Nacho Monreal,Left-Back,€15.00m ,"Feb 26, 1986 (29)",Spain
87,https://www.transfermarkt.com/fc-arsenal/startseite/verein/11/saison_id/2015,/kieran-gibbs/profil/spieler/44792,Kieran Gibbs,Left-Back,€13.00m ,"Sep 26, 1989 (25)",England
88,https://www.transfermarkt.com/fc-arsenal/startseite/verein/11/saison_id/2015,/hector-bellerin/profil/spieler/191217,Héctor Bellerín,Right-Back,€18.00m ,"Mar 19, 1995 (20)",Spain
89,https://www.transfermarkt.com/fc-arsenal/startseite/verein/11/saison_id/2015,/carl-jenkinson/profil/spieler/126321,Carl Jenkinson,Right-Back,€9.00m ,"Feb 8, 1992 (23)",England
90,https://www.transfermarkt.com/fc-arsenal/startseite/verein/11/saison_id/2015,/mathieu-debuchy/profil/spieler/27306,Mathieu Debuchy,Right-Back,€7.50m ,"Jul 28, 1985 (29)",France
91,https://www.transfermarkt.com/fc-arsenal/startseite/verein/11/saison_id/2015,/francis-coquelin/profil/spieler/74869,Francis Coquelin,Defensive Midfield,€12.00m ,"May 13, 1991 (24)",France
92,https://www.transfermarkt.com/fc-arsenal/startseite/verein/11/saison_id/2015,/mohamed-elneny/profil/spieler/160438,Mohamed Elneny,Defensive Midfield,€6.00m ,"Jul 11, 1992 (22)",Egypt
93,https://www.transfermarkt.com/fc-arsenal/startseite/verein/11/saison_id/2015,/mathieu-flamini/profil/spieler/17396,Mathieu Flamini,Defensive Midfield,€4.00m ,"Mar 7, 1984 (31)",France
94,https://www.transfermarkt.com/fc-arsenal/startseite/verein/11/saison_id/2015,/krystian-bielik/profil/spieler/287247,Krystian Bielik,Defensive Midfield,€1.50m ,"Jan 4, 1998 (17)",Poland
95,https://www.transfermarkt.com/fc-arsenal/startseite/verein/11/saison_id/2015,/isaac-hayden/profil/spieler/206225,Isaac Hayden,Defensive Midfield,€500Th. ,"Mar 22, 1995 (20)",England
96,https://www.transfermarkt.com/fc-arsenal/startseite/verein/11/saison_id/2015,/ismael-bennacer/profil/spieler/351816,Ismaël Bennacer,Defensive Midfield,€100Th. ,"Dec 1, 1997 (17)",Algeria
97,https://www.transfermarkt.com/fc-arsenal/startseite/verein/11/saison_id/2015,/glen-kamara/profil/spieler/242632,Glen Kamara,Defensive Midfield, ,"Oct 28, 1995 (19)",Finland
98,https://www.transfermarkt.com/fc-arsenal/startseite/verein/11/saison_id/2015,/ben-sheaf/profil/spieler/314384,Ben Sheaf,Defensive Midfield, ,"Feb 5, 1998 (17)",England
99,https://www.transfermarkt.com/fc-arsenal/startseite/verein/11/saison_id/2015,/aaron-ramsey/profil/spieler/50057,Aaron Ramsey,Central Midfield,€30.00m ,"Dec 26, 1990 (24)",Wales
100,https://www.transfermarkt.com/fc-arsenal/startseite/verein/11/saison_id/2015,/santi-cazorla/profil/spieler/15799,Santi Cazorla,Central Midfield,€24.00m ,"Dec 13, 1984 (30)",Spain
101,https://www.transfermarkt.com/fc-arsenal/startseite/verein/11/saison_id/2015,/jack-wilshere/profil/spieler/74223,Jack Wilshere,Central Midfield,€23.00m ,"Jan 1, 1992 (23)",England
102,https://www.transfermarkt.com/fc-arsenal/startseite/verein/11/saison_id/2015,/alex-oxlade-chamberlain/profil/spieler/143424,Alex Oxlade-Chamberlain,Central Midfield,€20.00m ,"Aug 15, 1993 (21)",England
103,https://www.transfermarkt.com/fc-arsenal/startseite/verein/11/saison_id/2015,/mikel-arteta/profil/spieler/7451,Mikel Arteta,Central Midfield,€2.00m ,"Mar 26, 1982 (33)",Spain
104,https://www.transfermarkt.com/fc-arsenal/startseite/verein/11/saison_id/2015,/mesut-ozil/profil/spieler/35664,Mesut Özil,Attacking Midfield,€50.00m ,"Oct 15, 1988 (26)",Germany
105,https://www.transfermarkt.com/fc-arsenal/startseite/verein/11/saison_id/2015,/jeff-reine-adelaide/profil/spieler/326300,Jeff Reine-Adélaïde,Attacking Midfield,€1.00m ,"Jan 17, 1998 (17)",France
106,https://www.transfermarkt.com/fc-arsenal/startseite/verein/11/saison_id/2015,/tomas-rosicky/profil/spieler/132,Tomas Rosicky,Attacking Midfield,€1.00m ,"Oct 4, 1980 (34)",Czech Republic
107,https://www.transfermarkt.com/fc-arsenal/startseite/verein/11/saison_id/2015,/jon-toral/profil/spieler/193593,Jon Toral,Attacking Midfield,€750Th. ,"Feb 5, 1995 (20)",Spain
108,https://www.transfermarkt.com/fc-arsenal/startseite/verein/11/saison_id/2015,/alex-iwobi/profil/spieler/242631,Alex Iwobi,Left Winger,€1.00m ,"May 3, 1996 (19)",Nigeria
109,https://www.transfermarkt.com/fc-arsenal/startseite/verein/11/saison_id/2015,/chris-willock/profil/spieler/314341,Chris Willock,Left Winger, ,"Jan 31, 1998 (17)",England
110,https://www.transfermarkt.com/fc-arsenal/startseite/verein/11/saison_id/2015,/theo-walcott/profil/spieler/33713,Theo Walcott,Right Winger,€25.00m ,"Mar 16, 1989 (26)",England
111,https://www.transfermarkt.com/fc-arsenal/startseite/verein/11/saison_id/2015,/serge-gnabry/profil/spieler/159471,Serge Gnabry,Right Winger,€3.00m ,"Jul 14, 1995 (19)",Germany
112,https://www.transfermarkt.com/fc-arsenal/startseite/verein/11/saison_id/2015,/wellington-silva/profil/spieler/121990,Wellington Silva,Right Winger,€2.00m ,"Jan 6, 1993 (22)",Brazil
113,https://www.transfermarkt.com/fc-arsenal/startseite/verein/11/saison_id/2015,/alexis-sanchez/profil/spieler/40433,Alexis Sánchez,Centre-Forward,€55.00m ,"Dec 19, 1988 (26)",Chile
114,https://www.transfermarkt.com/fc-arsenal/startseite/verein/11/saison_id/2015,/olivier-giroud/profil/spieler/82442,Olivier Giroud,Centre-Forward,€25.00m ,"Sep 30, 1986 (28)",France
115,https://www.transfermarkt.com/fc-arsenal/startseite/verein/11/saison_id/2015,/danny-welbeck/profil/spieler/67063,Danny Welbeck,Centre-Forward,€17.00m ,"Nov 26, 1990 (24)",England
116,https://www.transfermarkt.com/fc-arsenal/startseite/verein/11/saison_id/2015,/joel-campbell/profil/spieler/131248,Joel Campbell,Centre-Forward,€8.00m ,"Jun 26, 1992 (23)",Costa Rica
117,https://www.transfermarkt.com/fc-arsenal/startseite/verein/11/saison_id/2015,/yaya-sanogo/profil/spieler/127194,Yaya Sanogo,Centre-Forward,€1.50m ,"Jan 27, 1993 (22)",France
118,https://www.transfermarkt.com/fc-arsenal/startseite/verein/11/saison_id/2015,/chuba-akpom/profil/spieler/197642,Chuba Akpom,Centre-Forward,€1.00m ,"Oct 9, 1995 (19)",England
119,https://www.transfermarkt.com/manchester-united/startseite/verein/985/saison_id/2015,/david-de-gea/profil/spieler/59377,David de Gea,Goalkeeper,€40.00m ,"Nov 7, 1990 (24)",Spain
120,https://www.transfermarkt.com/manchester-united/startseite/verein/985/saison_id/2015,/sergio-romero/profil/spieler/30690,Sergio Romero,Goalkeeper,€5.00m ,"Feb 22, 1987 (28)",Argentina
